Year,Value,Anomaly
1980,58.2,0.8
1981,58.1,0.7
1982,58.8,1.4
1983,56.7,-0.7
1984,57.7,0.3
1985,57.9,0.5
1986,57.9,0.5
1987,58.3,0.9
1988,58.4,1
1989,58.6,1.2
1990,58.3,0.9
1991,58,0.6
1992,58.1,0.7
1993,59.1,1.7
1994,58,0.6
1995,57.9,0.5
1996,59,1.6
1997,59.5,2.1
1998,59.2,1.8
1999,56.7,-0.7
2000,58,0.6
2001,58.5,1.1
2002,59.1,1.7
2003,59.5,2.1
2004,58.9,1.5
2005,58.9,1.5
2006,58.6,1.2
2007,58.4,1
2008,58.9,1.5
2009,59.4,2
2010,58.7,1.3
2011,57.7,0.3
2012,57.5,0.1
2013,59.1,1.7
2014,60,2.6
2015,61.3,3.9
2016,60.4,3
2017,59.9,2.5
2018,60.9,3.5
2019,59.9,2.5
2020,58.3,0.9
2021,60.5,3.1
