Entity,Code,Year,Grapes | 00000560 || Production | 005510 || tonnes
United States,USA,1961,2952820
United States,USA,1962,2937915
United States,USA,1963,3440949
United States,USA,1964,3155186
United States,USA,1965,3947430
United States,USA,1966,3387706
United States,USA,1967,2777979
United States,USA,1968,3219596
United States,USA,1969,3535759
United States,USA,1970,2815279
United States,USA,1971,3623658
United States,USA,1972,2339300
United States,USA,1973,3808659
United States,USA,1974,3809067
United States,USA,1975,3961111
United States,USA,1976,3990077
United States,USA,1977,3898850
United States,USA,1978,4142840
United States,USA,1979,4525940
United States,USA,1980,5075760
United States,USA,1981,4044390
United States,USA,1982,5946690
United States,USA,1983,5009000
United States,USA,1984,4725000
United States,USA,1985,5095000
United States,USA,1986,4742400
United States,USA,1987,4778100
United States,USA,1988,5472200
United States,USA,1989,5380000
United States,USA,1990,5135600
United States,USA,1991,5040200
United States,USA,1992,5490000
United States,USA,1993,5464000
United States,USA,1994,5328350
United States,USA,1995,5372600
United States,USA,1996,5038750
United States,USA,1997,6592300
United States,USA,1998,5279800
United States,USA,1999,5657509
United States,USA,2000,6973801
United States,USA,2001,5959603
United States,USA,2002,6657777
United States,USA,2003,5887268
United States,USA,2004,5660833
United States,USA,2005,7088470
United States,USA,2006,5757267
United States,USA,2007,6402277
United States,USA,2008,6639960
United States,USA,2009,6629198
United States,USA,2010,6777731
United States,USA,2011,6756457
United States,USA,2012,6831902
United States,USA,2013,7830637
United States,USA,2014,7152090
United States,USA,2015,6964593
United States,USA,2016,6982630
United States,USA,2017,6698520
United States,USA,2018,6890980
United States,USA,2019,6314915
United States,USA,2020,5479400
United States,USA,2021,5473950
United States,USA,2022,5409090
United States,USA,2023,5361010
