Year,MaxTemp,MinTemp
1980,59.9,45.9
1981,61.8,46.7
1982,58.7,40.4
1983,59.6,44.2
1984,61.6,45.4
1985,60.0,41.7
1986,61.3,48.8
1987,60.9,41.4
1988,61.3,42.7
1989,60.2,40.9
1990,60.7,42.9
1991,60.2,43.6
1992,62.1,43.2
1993,60.0,41.3
1994,61.4,44.7
1995,60.5,44.7
1996,62.1,45.6
1997,61.8,44.5
1998,59.1,44.4
1999,59.7,45.0
2000,61.6,45.8
2001,61.5,42.3
2002,61.2,42.4
2003,62.2,47.9
2004,61.8,43.5
2005,60.5,44.1
2006,61.1,44.6
2007,61.6,41.5
2008,61.1,41.1
2009,61.7,46.1
2010,59.8,45.2
2011,59.8,44.3
2012,61.9,46.5
2013,61.9,42.1
2014,63.8,50.0
2015,63.9,48.6
2016,62.8,44.5
2017,62.4,42.2
2018,62.6,47.8
2019,60.5,43.4
2020,63.0,45.3
